30pN,20pN,15pN,12pN,10pN,7.5pN,7pN,6.5pN,6pN,5.5pN,5pN
,,,-0.319434,,3.66691,5.75647,4.23793,5.59939,2.91879,
,,,-1.96169,,-1.07974,3.41511,1.96472,4.48686,2.15591,
,,,-1.76096,,1.69911,4.53661,3.86996,5.29539,2.65106,
,,,-0.724886,,-2.31336,5.19406,4.39088,2.1014,5.05815,
,,,-0.647333,,2.22465,4.76325,4.21318,6.18572,3.45417,
,,,-1.82884,,-0.537955,2.84651,3.01298,4.90418,4.07478,
,,,-0.0237191,,1.426,5.18931,3.91071,5.32817,4.59574,
,,,,,-0.615877,3.02074,4.45557,5.30848,3.97742,
,,,,,1.25405,5.66645,5.78634,3.53811,1.43975,
,,,,,-3.16955,4.07087,3.5262,5.61604,2.92761,
,,,,,1.48084,4.10624,2.76531,4.27428,0.00654851,
,,,,,1.92062,3.73754,3.01854,6.36865,2.64578,
,,,,,1.64162,3.84291,3.52808,3.09523,4.77362,
,,,,,0.490272,0.955323,3.38442,5.79677,2.95992,
,,,,,2.5675,4.89069,2.57198,4.92506,3.96895,
,,,,,2.89157,3.18268,4.19849,6.54933,4.52555,
,,,,,1.71373,2.85691,3.83349,5.16622,3.18231,
,,,,,3.35518,4.13416,3.67055,5.40576,4.34384,
,,,,,2.44122,4.6543,5.32563,3.19537,4.27631,
,,,,,-1.56852,4.49039,4.81972,5.44694,0.924441,
,,,,,-0.434142,4.77256,5.0142,4.91194,2.67791,
,,,,,2.91272,3.44842,4.08291,3.01947,5.5137,
,,,,,1.5582,4.23365,0.948669,6.62297,1.60065,
,,,,,1.12261,4.69232,4.88174,4.85388,4.16809,
,,,,,2.67206,6.31422,4.06094,6.44833,2.52203,
,,,,,1.85419,-0.0547001,2.37687,-1.62728,2.65153,
,,,,,4.24554,4.16447,1.45931,4.56686,4.12019,
,,,,,1.36684,5.01854,3.411,4.735,1.39362,
,,,,,2.65707,3.90763,4.50274,5.87648,0.834026,
,,,,,0.0820683,4.15732,2.59182,3.71028,1.57909,
,,,,,-2.15044,3.44821,5.02804,4.56985,0.789997,
,,,,,1.82159,4.21966,5.15732,4.74147,0.456773,
,,,,,0.346302,3.66486,3.41284,5.09118,-2.10408,
,,,,,3.22964,4.63221,4.35709,5.8198,4.85172,
,,,,,0.859128,4.31193,0.99648,5.97947,3.41766,
,,,,,1.63906,2.87004,2.70624,2.60607,3.73139,
,,,,,2.10771,4.72927,5.72825,3.03437,2.32876,
,,,,,1.70357,4.14169,4.17702,4.87003,2.94838,
